"","Term","Ont","N","DE","P.DE"
"433","negative regulation of metabolic process","BP",2843,90,0.00127285702874795
"434","cell-cell signaling","BP",1596,56,0.00129059861169727
"435","biomineral tissue development","BP",160,11,0.001296960297669
"436","positive regulation of brown fat cell differentiation","BP",10,3,0.00131204921176875
"437","imidazole-containing compound metabolic process","BP",10,3,0.00131204921176875
"438","primitive hemopoiesis","BP",10,3,0.00131204921176875
"439","cellular chemical homeostasis","BP",810,33,0.00132517308614685
"440","supramolecular fiber organization","BP",681,29,0.0013256573067424
"441","negative regulation of cell proliferation","BP",681,29,0.0013256573067424
"442","leukocyte cell-cell adhesion","BP",319,17,0.00133877294404665
"443","circulatory system process","BP",495,23,0.00135023947024531
"444","collagen catabolic process","BP",36,5,0.00136133826629925
"445","protein kinase B signaling","BP",186,12,0.00137819951595395
"446","fat cell differentiation","BP",238,14,0.00139102099705533
"447","positive regulation of cell projection organization","BP",466,22,0.00139393794737922
"448","regulation of cellular component biogenesis","BP",948,37,0.00148133897048244
"449","vitamin biosynthetic process","BP",22,4,0.00149258877684894
"450","regulation of endothelial cell chemotaxis","BP",22,4,0.00149258877684894
"451","mammary gland development","BP",163,11,0.00150575745582506
"452","positive regulation of stress fiber assembly","BP",54,6,0.00150982443797195
"453","sprouting angiogenesis","BP",116,9,0.00152637828513001
"454","bone mineralization","BP",116,9,0.00152637828513001
"455","protein-lipid complex subunit organization","BP",37,5,0.00154446021566979
"456","positive regulation of acute inflammatory response","BP",37,5,0.00154446021566979
"457","dendritic cell differentiation","BP",37,5,0.00154446021566979
"458","small molecule metabolic process","BP",1753,60,0.00156252456395567
"459","positive regulation of renin secretion into blood stream","BP",3,2,0.00158069466039379
"460","positive regulation of vitamin D biosynthetic process","BP",3,2,0.00158069466039379
"461","positive regulation of calcidiol 1-monooxygenase activity","BP",3,2,0.00158069466039379
"462","negative regulation of T-helper 17 cell lineage commitment","BP",3,2,0.00158069466039379
"463","endothelial cell-matrix adhesion","BP",3,2,0.00158069466039379
"464","platelet-derived growth factor production","BP",3,2,0.00158069466039379
"465","regulation of platelet-derived growth factor production","BP",3,2,0.00158069466039379
"466","vagus nerve development","BP",3,2,0.00158069466039379
"467","developmental growth","BP",787,32,0.00160816140056774
"468","mesoderm development","BP",117,9,0.00162044206560941
"469","positive regulation of secretion by cell","BP",472,22,0.00163638671636083
"470","divalent metal ion transport","BP",472,22,0.00163638671636083
"471","response to steroid hormone","BP",216,13,0.00166041971415718
"472","retinoid metabolic process","BP",55,6,0.0016620919385792
"473","T cell selection","BP",55,6,0.0016620919385792
"474","positive regulation of cellular component biogenesis","BP",534,24,0.0016708196331584
"475","apoptotic process","BP",1867,63,0.00168014267568293
"476","regulation of cellular protein metabolic process","BP",2494,80,0.00169275007806142
"477","positive T cell selection","BP",38,5,0.00174505996058068
"478","regulation of protein kinase activity","BP",662,28,0.00175878189449068
"479","divalent inorganic cation transport","BP",475,22,0.00177054512972672
"480","bone trabecula formation","BP",11,3,0.001773154766148
"481","vitamin D biosynthetic process","BP",11,3,0.001773154766148
"482","venous blood vessel morphogenesis","BP",11,3,0.001773154766148
"483","positive regulation of cell proliferation in bone marrow","BP",11,3,0.001773154766148
"484","programmed cell death","BP",1908,64,0.00178204514298391
"485","positive regulation of cell death","BP",695,29,0.00179395360683773
"486","regulation of kinase activity","BP",728,30,0.00181999323912405
"487","positive regulation of blood vessel endothelial cell migration","BP",56,6,0.00182574072817754
"488","response to interferon-beta","BP",56,6,0.00182574072817754
"489","response to endogenous stimulus","BP",1409,50,0.00185295603587228
"490","positive regulation of endothelial cell migration","BP",97,8,0.00187040624004207
"491","regulation of biomineral tissue development","BP",97,8,0.00187040624004207
"492","striated muscle cell development","BP",193,12,0.00188297053443726
"493","alpha-amino acid catabolic process","BP",76,7,0.00189172471343288
"494","regulation of small molecule metabolic process","BP",359,18,0.00192683690017794
"495","cellular homeostasis","BP",930,36,0.00196120909944135
"496","regulation of cell migration involved in sprouting angiogenesis","BP",39,5,0.00196410671671464
"497","epithelial cell development","BP",247,14,0.00196696859483065
"498","positive regulation of lymphocyte mediated immunity","BP",144,10,0.00196939834793353
"499","diterpenoid metabolic process","BP",57,6,0.00200130782287942
"500","cation transport","BP",1101,41,0.0020049977778727
"501","regulation of blood coagulation","BP",77,7,0.00204020508224935
"502","cellular component organization","BP",6083,171,0.00208004674065645
"503","eosinophil migration","BP",24,4,0.00209027491594383
"504","positive regulation of monooxygenase activity","BP",24,4,0.00209027491594383
"505","definitive hemopoiesis","BP",24,4,0.00209027491594383
"506","regulation of T cell proliferation","BP",170,11,0.00210130026237593
"507","positive regulation of neuron projection development","BP",362,18,0.00210866241313345
"508","carboxylic acid biosynthetic process","BP",362,18,0.00210866241313345
"509","interferon-gamma production","BP",122,9,0.00216288179345762
"510","organic acid biosynthetic process","BP",363,18,0.00217238721884169
"511","regulation of interleukin-2 production","BP",58,6,0.00218933762516522
"512","positive regulation of signaling receptor activity","BP",40,5,0.00220257725912792
"513","mammary gland duct morphogenesis","BP",40,5,0.00220257725912792
"514","calcium ion transport","BP",423,20,0.00221597074158098
"515","blood circulation","BP",484,22,0.00223065451264491
"516","regulation of actomyosin structure organization","BP",100,8,0.00226808411059289
"517","neutrophil chemotaxis","BP",100,8,0.00226808411059289
"518","cell proliferation in bone marrow","BP",12,3,0.00232374329685674
"519","positive regulation of interleukin-2 biosynthetic process","BP",12,3,0.00232374329685674
"520","regulation of cell proliferation in bone marrow","BP",12,3,0.00232374329685674
"521","T-helper 17 cell lineage commitment","BP",12,3,0.00232374329685674
"522","oxoacid metabolic process","BP",941,36,0.00238319654235035
"523","positive regulation of animal organ morphogenesis","BP",101,8,0.00241442953712908
"524","osteoblast differentiation","BP",199,12,0.00242809774074367
"525","positive regulation of vascular endothelial growth factor production","BP",25,4,0.00244336231220902
"526","positive regulation of neutrophil chemotaxis","BP",25,4,0.00244336231220902
"527","peptidyl-tyrosine autophosphorylation","BP",41,5,0.00246145407693741
"528","positive regulation of sprouting angiogenesis","BP",41,5,0.00246145407693741
"529","regulation of cysteine-type endopeptidase activity","BP",226,13,0.00247078635893466
"530","cellular metal ion homeostasis","BP",582,25,0.00247676864175548
"531","positive regulation of transferase activity","BP",551,24,0.00250838077656138
"532","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP",80,7,0.00254016394773014
"533","regulation of myeloid leukocyte differentiation","BP",125,9,0.00255204213912827
"534","protein metabolic process","BP",5344,152,0.00256072663945464
"535","endocrine process","BP",102,8,0.00256806901845331
"536","negative regulation of leukocyte differentiation","BP",102,8,0.00256806901845331
"537","positive regulation of protein kinase B signaling","BP",102,8,0.00256806901845331
"538","small molecule catabolic process","BP",311,16,0.0026051221311253
"539","neuron projection development","BP",1083,40,0.00261523467611266
"540","neuron development","BP",1222,44,0.00262545507936904
"541","positive regulation of endocytosis","BP",175,11,0.00263395644809412
"542","regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP",201,12,0.00263606889712332
"543","regulation of cell shape","BP",150,10,0.00265584763543818
"544","cellular protein modification process","BP",3453,104,0.00265586887322817
"545","protein modification process","BP",3453,104,0.00265586887322817
"546","negative regulation of catalytic activity","BP",682,28,0.00268406298165808
"547","regulation of coagulation","BP",81,7,0.0027261632218213
"548","regulation of actin filament bundle assembly","BP",103,8,0.00272924827083207
"549","negative regulation of cell adhesion","BP",284,15,0.00273081704444138
"550","regulation of monooxygenase activity","BP",42,5,0.00274172355589729
"551","positive regulation of leukocyte mediated immunity","BP",176,11,0.00275254222488291
"552","regulation of proteolysis","BP",716,29,0.00276118456813452
"553","regulation of peptide transport","BP",749,30,0.00277094844223086
"554","ovulation cycle","BP",61,6,0.0028337452768124
"555","negative regulation of hydrolase activity","BP",402,19,0.00283408676380082
"556","regulation of alpha-beta T cell activation","BP",104,8,0.00289821626461234
"557","muscle fiber development","BP",82,7,0.00292243382824604
"558","positive regulation of intracellular estrogen receptor signaling pathway","BP",13,3,0.0029692260125269
"559","paraxial mesoderm morphogenesis","BP",13,3,0.0029692260125269
"560","luteinization","BP",13,3,0.0029692260125269
"561","positive regulation of heat generation","BP",13,3,0.0029692260125269
"562","positive regulation of secretion","BP",527,23,0.00298044742102573
"563","regulation of cytosolic calcium ion concentration","BP",374,18,0.00298674236010255
"564","terpenoid metabolic process","BP",62,6,0.00307719621976275
"565","ventricular cardiac muscle tissue development","BP",62,6,0.00307719621976275
"566","organic cyclic compound metabolic process","BP",5208,148,0.00308312402933657
"567","positive regulation of eosinophil migration","BP",4,2,0.00311285467595597
"568","positive regulation of smooth muscle cell chemotaxis","BP",4,2,0.00311285467595597
"569","negative regulation of branching morphogenesis of a nerve","BP",4,2,0.00311285467595597
"570","positive regulation of glomerular filtration","BP",4,2,0.00311285467595597
"571","astrocyte fate commitment","BP",4,2,0.00311285467595597
"572","histamine metabolic process","BP",4,2,0.00311285467595597
"573","glossopharyngeal nerve morphogenesis","BP",4,2,0.00311285467595597
"574","positive regulation of vitamin metabolic process","BP",4,2,0.00311285467595597
"575","striatal medium spiny neuron differentiation","BP",4,2,0.00311285467595597
"576","regulation of T-helper 17 cell lineage commitment","BP",4,2,0.00311285467595597
"577","renal sodium ion absorption","BP",4,2,0.00311285467595597
"578","reactive oxygen species metabolic process","BP",288,15,0.00311486349769127
"579","mononuclear cell migration","BP",83,7,0.00312934091443248
"580","temperature homeostasis","BP",179,11,0.00313435383537475
"581","ameboidal-type cell migration","BP",406,19,0.00315733672572938
"582","negative regulation of secretion","BP",261,14,0.00324595308760275
"583","renal system process involved in regulation of systemic arterial blood pressure","BP",27,4,0.00326829943934496
"584","positive regulation of granulocyte chemotaxis","BP",27,4,0.00326829943934496
"585","positive regulation of protein kinase activity","BP",438,20,0.00329072855258897
"586","macromolecule modification","BP",3634,108,0.00333292513574109
"587","regulation of neurotransmitter receptor activity","BP",63,6,0.00333592113495904
"588","aorta development","BP",63,6,0.00333592113495904
"589","muscle cell development","BP",207,12,0.00334840087553272
"590","regulation of protein kinase B signaling","BP",155,10,0.00336363870237754
"591","heterocycle metabolic process","BP",4940,141,0.00338753663096484
"592","renal system process","BP",107,8,0.00345438863823497
"593","regulation of signaling receptor activity","BP",131,9,0.00349591155112689
"594","regulation of lymphocyte differentiation","BP",182,11,0.00355760554564862
"595","regulation of peptidase activity","BP",411,19,0.00360411537878617
"596","positive regulation of actin filament bundle assembly","BP",64,6,0.00361049572774078
"597","regulation of CD4-positive, alpha-beta T cell activation","BP",64,6,0.00361049572774078
"598","positive regulation of myeloid leukocyte differentiation","BP",64,6,0.00361049572774078
"599","positive regulation of lymphocyte differentiation","BP",108,8,0.00365706206321889
"600","positive regulation of ion transport","BP",322,16,0.00365779804461774
"601","regulation of endothelial cell migration","BP",157,10,0.0036855742075743
"602","maternal process involved in female pregnancy","BP",45,5,0.00372077302728791
"603","embryonic hemopoiesis","BP",28,4,0.00374414198529802
"604","regulation of interferon-gamma production","BP",109,8,0.0038688135218065
"605","regulation of MAP kinase activity","BP",295,15,0.00389347368922881
"606","mesoderm formation","BP",65,6,0.00390149870353701
"607","positive regulation of kinase activity","BP",476,21,0.00391978943876937
"608","negative regulation of cysteine-type endopeptidase activity","BP",87,7,0.00407076396426231
"609","cellular response to interferon-beta","BP",46,5,0.00409649322655183
"610","cell morphogenesis involved in differentiation","BP",804,31,0.00415488107393972
"611","interleukin-2 production","BP",66,6,0.00420951112889025
"612","response to metal ion","BP",269,14,0.00424002901911561
"613","cellular component organization or biogenesis","BP",6266,173,0.00426462861340332
"614","cellular aromatic compound metabolic process","BP",5012,142,0.00430190267862898
"615","regulation of stress fiber assembly","BP",88,7,0.0043364537499172
"616","negative regulation of response to wounding","BP",88,7,0.0043364537499172
"617","positive regulation of T cell activation","BP",187,11,0.00436364637131349
"618","lymphocyte activation","BP",841,32,0.00440148362922246
"619","regulation of extrinsic apoptotic signaling pathway","BP",161,10,0.00440250034927521
"620","negative regulation of peptidase activity","BP",242,13,0.00442027811724936
"621","positive regulation of cell-cell adhesion","BP",242,13,0.00442027811724936
"622","regulation of protein transport","BP",708,28,0.00448241188045009
"623","vascular endothelial growth factor receptor signaling pathway","BP",47,5,0.00449853529597416
"624","positive regulation of nitric oxide biosynthetic process","BP",47,5,0.00449853529597416
"625","regulation of extrinsic apoptotic signaling pathway in absence of ligand","BP",47,5,0.00449853529597416
"626","regulation of acute inflammatory response","BP",67,6,0.00453511579324687
"627","regulation of morphogenesis of an epithelium","BP",112,8,0.0045612058363823
"628","positive regulation of membrane protein ectodomain proteolysis","BP",15,3,0.00456393264666872
"629","chemokine biosynthetic process","BP",15,3,0.00456393264666872
"630","regulation of chemokine biosynthetic process","BP",15,3,0.00456393264666872
"631","regulation of integrin activation","BP",15,3,0.00456393264666872
"632","bone trabecula morphogenesis","BP",15,3,0.00456393264666872
"633","regulation of neuron differentiation","BP",776,30,0.00459205644379181
"634","regulation of metal ion transport","BP",421,19,0.00465608761067544
"635","regulation of calcium ion transport","BP",272,14,0.00467117766705132
"636","positive regulation of cation transmembrane transport","BP",163,10,0.00479993918178623
"637","protein localization to postsynaptic specialization membrane","BP",30,4,0.00483220881378871
"638","neurotransmitter receptor localization to postsynaptic specialization membrane","BP",30,4,0.00483220881378871
"639","endothelial cell chemotaxis","BP",30,4,0.00483220881378871
"640","regulation of cellular component organization","BP",2558,79,0.00487405073843776
"641","ovulation cycle process","BP",48,5,0.0049278728690155
"642","positive regulation of calcium-mediated signaling","BP",48,5,0.0049278728690155
"643","positive regulation of nitric oxide metabolic process","BP",48,5,0.0049278728690155
"644","autonomic nervous system development","BP",48,5,0.0049278728690155
"645","transmembrane transport","BP",1266,44,0.0049577995550402
"646","membrane lipid metabolic process","BP",164,10,0.00500894944222136
"647","regulation of renin secretion into blood stream","BP",5,2,0.0051085958200433
"648","positive regulation of calcium ion import across plasma membrane","BP",5,2,0.0051085958200433
"649","epithelial cell proliferation involved in mammary gland duct elongation","BP",5,2,0.0051085958200433
"650","progesterone secretion","BP",5,2,0.0051085958200433
"651","aorta smooth muscle tissue morphogenesis","BP",5,2,0.0051085958200433
"652","somatic diversification of T cell receptor genes","BP",5,2,0.0051085958200433
"653","somatic recombination of T cell receptor gene segments","BP",5,2,0.0051085958200433
"654","T cell receptor V(D)J recombination","BP",5,2,0.0051085958200433
"655","10-formyltetrahydrofolate metabolic process","BP",5,2,0.0051085958200433
"656","small molecule biosynthetic process","BP",650,26,0.00523386971470739
"657","regulation of cell-cell adhesion","BP",395,18,0.00524971187220969
"658","negative regulation of epithelial cell apoptotic process","BP",49,5,0.00538547183359706
"659","regulation of protein serine/threonine kinase activity","BP",427,19,0.00540068376675517
"660","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",140,9,0.00540245257893666
"661","negative regulation of endothelial cell apoptotic process","BP",31,4,0.00544813029230529
"662","cell volume homeostasis","BP",31,4,0.00544813029230529
"663","lymph node development","BP",31,4,0.00544813029230529
"664","regulation of neutrophil chemotaxis","BP",31,4,0.00544813029230529
"665","genitalia morphogenesis","BP",16,3,0.00552147081500376
"666","craniofacial suture morphogenesis","BP",16,3,0.00552147081500376
"667","negative regulation of bone resorption","BP",16,3,0.00552147081500376
"668","negative regulation of phosphatidylinositol 3-kinase signaling","BP",16,3,0.00552147081500376
"669","vitamin D metabolic process","BP",16,3,0.00552147081500376
"670","regulation of brown fat cell differentiation","BP",16,3,0.00552147081500376
"671","T-helper cell lineage commitment","BP",16,3,0.00552147081500376
"672","chemokine production","BP",92,7,0.00553205306525784
"673","signal release","BP",523,22,0.00556525008302991
"674","regulation of endopeptidase activity","BP",337,16,0.00563420848924619
"675","regulation of wound healing","BP",141,9,0.00565595432190282
"676","response to inorganic substance","BP",493,21,0.00580640656285068
"677","regulation of bone resorption","BP",50,5,0.00587228885512164
"678","negative regulation of hemostasis","BP",50,5,0.00587228885512164
"679","positive regulation of supramolecular fiber organization","BP",195,11,0.00594882823465473
"680","regulation of lymphocyte mediated immunity","BP",195,11,0.00594882823465473
"681","positive regulation of interleukin-2 production","BP",32,4,0.00611434693446153
"682","regulation of vascular endothelial growth factor receptor signaling pathway","BP",32,4,0.00611434693446153
"683","negative regulation of interferon-gamma production","BP",32,4,0.00611434693446153
"684","positive regulation of osteoclast differentiation","BP",32,4,0.00611434693446153
"685","T-helper 17 type immune response","BP",32,4,0.00611434693446153
"686","positive regulation of epithelial cell migration","BP",143,9,0.00619043653210773
"687","roof of mouth development","BP",94,7,0.00621499709731747
"688","odontogenesis","BP",118,8,0.00622765029146507
"689","regulation of anatomical structure size","BP",561,23,0.00628443045347956
"690","positive regulation of oxidoreductase activity","BP",51,5,0.00638926995168925
"691","mesenchyme morphogenesis","BP",51,5,0.00638926995168925
"692","genitalia development","BP",51,5,0.00638926995168925
"693","skeletal system development","BP",530,22,0.00646768592941981
"694","regulation of protein localization","BP",1038,37,0.00652745212395928
"695","regulation of systemic arterial blood pressure","BP",119,8,0.00654513816207777
"696","endothelium development","BP",119,8,0.00654513816207777
"697","neutrophil migration","BP",119,8,0.00654513816207777
"698","formation of primary germ layer","BP",95,7,0.0065791233493207
"699","chemokine metabolic process","BP",17,3,0.00659058125958874
"700","cardiac muscle fiber development","BP",17,3,0.00659058125958874
"701","positive regulation of endothelial cell chemotaxis","BP",17,3,0.00659058125958874
"702","CD4-positive, alpha-beta T cell lineage commitment","BP",17,3,0.00659058125958874
"703","cell projection morphogenesis","BP",696,27,0.00666111619135188
"704","positive regulation of stress-activated MAPK cascade","BP",171,10,0.00667912038881205
"705","actin cytoskeleton organization","BP",663,26,0.00670761140680885
"706","cell-cell junction organization","BP",145,9,0.00676296577101542
"707","regulation of actin filament organization","BP",255,13,0.00678698076009859
"708","plasma lipoprotein particle organization","BP",33,4,0.00683256033392541
"709","negative regulation of signal transduction in absence of ligand","BP",33,4,0.00683256033392541
"710","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","BP",33,4,0.00683256033392541
"711","regulation of axon extension involved in axon guidance","BP",33,4,0.00683256033392541
"712","carboxylic acid metabolic process","BP",902,33,0.00686102894880363
"713","RNA metabolic process","BP",3761,109,0.00688593035659062
"714","peripheral nervous system development","BP",73,6,0.00689087451868127
"715","regulation of long-term synaptic potentiation","BP",52,5,0.0069373491227184
"716","negative regulation of cytokine-mediated signaling pathway","BP",52,5,0.0069373491227184
"717","lymphocyte chemotaxis","BP",52,5,0.0069373491227184
"718","positive regulation of stress-activated protein kinase signaling cascade","BP",172,10,0.00694926792666717
"719","regulation of ion transport","BP",732,28,0.00695357598454885
"720","phospholipase C-activating G protein-coupled receptor signaling pathway","BP",96,7,0.00695887526716266
"721","regulation of phosphatidylinositol 3-kinase signaling","BP",96,7,0.00695887526716266
"722","positive regulation of apoptotic process","BP",632,25,0.00699200589080631
"723","negative regulation of cellular component movement","BP",316,15,0.00722795922997792
"724","lymphocyte migration","BP",97,7,0.00735464508038316
"725","positive regulation of adaptive immune response","BP",147,9,0.00737524685747359
"726","regulation of leukocyte cell-cell adhesion","BP",287,14,0.00738919509312315
"727","regulation of eosinophil migration","BP",6,2,0.00754570594020281
"728","regulation of smooth muscle cell chemotaxis","BP",6,2,0.00754570594020281
"729","branch elongation involved in mammary gland duct branching","BP",6,2,0.00754570594020281
"730","odontoblast differentiation","BP",6,2,0.00754570594020281
"731","negative regulation of neuron maturation","BP",6,2,0.00754570594020281
"732","primitive erythrocyte differentiation","BP",6,2,0.00754570594020281
"733","positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway","BP",6,2,0.00754570594020281
"734","glutamate secretion, neurotransmission","BP",6,2,0.00754570594020281
"735","urate transport","BP",6,2,0.00754570594020281
"736","renal sodium ion transport","BP",6,2,0.00754570594020281
"737","digestion","BP",122,8,0.00757136892333687
"738","regulation of supramolecular fiber organization","BP",348,16,0.00757445797362461
"739","response to oxygen-containing compound","BP",1589,52,0.00759044139643032
"740","positive regulation of neutrophil migration","BP",34,4,0.00760440838934678
"741","glutamate secretion","BP",34,4,0.00760440838934678
"742","embryonic hindlimb morphogenesis","BP",34,4,0.00760440838934678
"743","defense response to protozoan","BP",34,4,0.00760440838934678
"744","regulation of transforming growth factor beta production","BP",34,4,0.00760440838934678
"745","postsynapse assembly","BP",34,4,0.00760440838934678
"746","sex differentiation","BP",288,14,0.00760759159799924
"747","positive regulation of programmed cell death","BP",637,25,0.00768546874449951
"748","embryonic morphogenesis","BP",637,25,0.00768546874449951
"749","negative regulation of extrinsic apoptotic signaling pathway","BP",98,7,0.00776682473839863
"750","positive regulation of T cell proliferation","BP",98,7,0.00776682473839863
"751","venous blood vessel development","BP",18,3,0.00777431586944816
"752","positive regulation of cyclase activity","BP",18,3,0.00777431586944816
"753","regulation of systemic arterial blood pressure by circulatory renin-angiotensin","BP",18,3,0.00777431586944816
"754","preganglionic parasympathetic fiber development","BP",18,3,0.00777431586944816
"755","dentate gyrus development","BP",18,3,0.00777431586944816
"756","negative regulation of bone remodeling","BP",18,3,0.00777431586944816
"757","muscle contraction","BP",289,14,0.00783108629641468
"758","regulation of insulin receptor signaling pathway","BP",75,6,0.00784327671545467
"759","bone development","BP",231,12,0.00789337476228862
"760","sphingolipid metabolic process","BP",123,8,0.00793898059657361
"761","positive regulation of leukocyte cell-cell adhesion","BP",203,11,0.00795538420155111
"762","regulation of establishment of protein localization","BP",740,28,0.00799421890590916
"763","response to mechanical stimulus","BP",176,10,0.00811541504079639
"764","regulation of endothelial cell apoptotic process","BP",54,5,0.00813046974562507
"765","glial cell proliferation","BP",54,5,0.00813046974562507
"766","negative regulation of chemotaxis","BP",54,5,0.00813046974562507
"767","actomyosin structure organization","BP",204,11,0.00823924099645272
"768","rhythmic process","BP",291,14,0.00829369624258104
"769","positive regulation of peptidyl-serine phosphorylation","BP",124,8,0.00831983356271431
"770","aorta morphogenesis","BP",35,4,0.00843146310735586
"771","cellular detoxification","BP",35,4,0.00843146310735586
"772","T cell proliferation","BP",205,11,0.00853089613401947
"773","regulation of Wnt signaling pathway","BP",292,14,0.00853297553989454
"774","cardiac muscle cell development","BP",100,7,0.00864197819860183
"775","CD4-positive, alpha-beta T cell activation","BP",100,7,0.00864197819860183
"776","neuron projection morphogenesis","BP",677,26,0.00866304732778663
"777","negative regulation of endopeptidase activity","BP",178,10,0.00875219803764532
"778","cell migration involved in sprouting angiogenesis","BP",55,5,0.00877730752632966
"779","protein localization to postsynaptic membrane","BP",55,5,0.00877730752632966
"780","regulation of endocytosis","BP",293,14,0.00877768109918196
"781","actin filament-based process","BP",746,28,0.00885634126097693
"782","positive regulation of cation channel activity","BP",77,6,0.00888691999732194
"783","cellular response to calcium ion","BP",77,6,0.00888691999732194
"784","positive regulation of phagocytosis","BP",77,6,0.00888691999732194
"785","mammary gland epithelium development","BP",77,6,0.00888691999732194
"786","positive regulation of lyase activity","BP",19,3,0.00907532564234199
"787","regulation of protein kinase C signaling","BP",19,3,0.00907532564234199
"788","positive regulation of glutamate receptor signaling pathway","BP",19,3,0.00907532564234199
"789","blood vessel endothelial cell proliferation involved in sprouting angiogenesis","BP",19,3,0.00907532564234199
"790","alpha-beta T cell lineage commitment","BP",19,3,0.00907532564234199
"791","positive regulation of ion transmembrane transport","BP",179,10,0.00908461485434771
"792","response to tumor necrosis factor","BP",179,10,0.00908461485434771
"793","regulation of long-term neuronal synaptic plasticity","BP",36,4,0.00931522871248793
"794","transforming growth factor beta production","BP",36,4,0.00931522871248793
"795","regulation of protein complex assembly","BP",451,19,0.00941813137116398
"796","negative regulation of response to cytokine stimulus","BP",56,5,0.00945883368301125
"797","central nervous system development","BP",888,32,0.00946724654516212
"798","phosphatidylinositol 3-kinase signaling","BP",127,8,0.00954468627965699
"799","bone remodeling","BP",102,7,0.00958745434471934
"800","regulation of cell size","BP",209,11,0.00977827950306773
"801","cell part morphogenesis","BP",718,27,0.00981417085339908
"802","positive regulation of cell division","BP",79,6,0.0100263103125611
"803","contractile actin filament bundle assembly","BP",103,7,0.0100875318709403
"804","stress fiber assembly","BP",103,7,0.0100875318709403
"805","regulation of reactive oxygen species biosynthetic process","BP",103,7,0.0100875318709403
"806","endothelial cell apoptotic process","BP",57,5,0.0101759034772547
"807","neuron maturation","BP",57,5,0.0101759034772547
"808","multicellular organismal movement","BP",57,5,0.0101759034772547
"809","musculoskeletal movement","BP",57,5,0.0101759034772547
"810","nucleobase-containing compound metabolic process","BP",4813,134,0.010232547062884
"811","sulfur amino acid metabolic process","BP",37,4,0.0102571400454356
"812","negative regulation of Notch signaling pathway","BP",37,4,0.0102571400454356
"813","axon extension involved in axon guidance","BP",37,4,0.0102571400454356
"814","neuron projection extension involved in neuron projection guidance","BP",37,4,0.0102571400454356
"815","regulation of the force of heart contraction by chemical signal","BP",7,2,0.0104027498031638
"816","regulation of calcium ion import across plasma membrane","BP",7,2,0.0104027498031638
"817","9-cis-retinoic acid biosynthetic process","BP",7,2,0.0104027498031638
"818","9-cis-retinoic acid metabolic process","BP",7,2,0.0104027498031638
"819","positive regulation of axon extension involved in axon guidance","BP",7,2,0.0104027498031638
"820","paracrine signaling","BP",7,2,0.0104027498031638
"821","response to potassium ion","BP",7,2,0.0104027498031638
"822","cellular response to potassium ion","BP",7,2,0.0104027498031638
"823","positive regulation of artery morphogenesis","BP",7,2,0.0104027498031638
"824","histidine metabolic process","BP",7,2,0.0104027498031638
"825","eye pigmentation","BP",7,2,0.0104027498031638
"826","negative regulation of hippo signaling","BP",7,2,0.0104027498031638
"827","muscle system process","BP",392,17,0.0104385164835224
"828","protein-lipid complex remodeling","BP",20,3,0.0104958821340329
"829","plasma lipoprotein particle remodeling","BP",20,3,0.0104958821340329
"830","lymphangiogenesis","BP",20,3,0.0104958821340329
"831","positive regulation of glial cell proliferation","BP",20,3,0.0104958821340329
"832","chloride ion homeostasis","BP",20,3,0.0104958821340329
"833","plasma membrane tubulation","BP",20,3,0.0104958821340329
"834","ganglioside metabolic process","BP",20,3,0.0104958821340329
"835","head development","BP",688,26,0.0105080377351952
"836","intracellular steroid hormone receptor signaling pathway","BP",104,7,0.0106063484610876
"837","nerve development","BP",80,6,0.0106332951529528
"838","regulation of bone mineralization","BP",80,6,0.0106332951529528
"839","reproductive process","BP",1471,48,0.0106395932666152
"840","regulation of actin filament-based process","BP",393,17,0.0106850020303231
"841","reproduction","BP",1472,48,0.0107637590368514
"842","cation transmembrane transport","BP",690,26,0.01087553929055
"843","regulation of cell morphogenesis","BP",523,21,0.0109273520722611
"844","mucopolysaccharide metabolic process","BP",58,5,0.0109293530859424
"845","mammary gland morphogenesis","BP",58,5,0.0109293530859424
"846","response to cytokine","BP",1004,35,0.011050441381605
"847","negative regulation of locomotion","BP",332,15,0.0110577844379936
"848","plasma membrane bounded cell projection morphogenesis","BP",691,26,0.0110631655309865
"849","regulation of peptidyl-serine phosphorylation","BP",157,9,0.0110933785523916
"850","granulocyte differentiation","BP",38,4,0.0112585612318891
"851","response to protozoan","BP",38,4,0.0112585612318891
"852","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","BP",38,4,0.0112585612318891
"853","neuron migration","BP",185,10,0.0112863178669837
"854","negative regulation of molecular function","BP",1006,35,0.0113643329062858
"855","regulation of cell activation","BP",693,26,0.0114462978260137
"856","Wnt signaling pathway","BP",428,18,0.0114856153162486
"857","gonad development","BP",214,11,0.0115297290895787
"858","negative regulation of hemopoiesis","BP",158,9,0.011530569040149
"859","embryonic organ development","BP",493,20,0.0115510753556848
"860","hormone secretion","BP",365,16,0.0115920545714472
"861","digestive system process","BP",106,7,0.0117017231329411
"862","cardiac cell development","BP",106,7,0.0117017231329411
"863","endothelial cell differentiation","BP",106,7,0.0117017231329411
