mgi_symbol_a,mgi_symbol_b,dip_id_a,dip_id_b,uniprot_id_a,uniprot_id_b,interaction_types,interaction_detection_methods,confidence_value
Pdcd6ip,Pdcd6ip,DIP-41418N,DIP-41418N,Q9WU78,Q9WU78,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0826(x ray scattering)|MI:0071(molecular sieving)|MI:0029(cosedimentation through density gradient)|MI:0067(light scattering)|MI:0809(bimolecular fluorescence complementation)|MI:0944(mass spectrometry study of hydrogen/deuterium exchange),dip-quality-status:core
Ptpn23,Grap2,DIP-48351N,DIP-41343N,Q6PB44,O89100,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0114(x-ray crystallography)|MI:0081(peptide array)|MI:0065(isothermal titration calorimetry),dip-quality-status:core
Sumo1,Mdm2,DIP-29278N,DIP-24196N,P63166,P23804,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Itpr1,Atp1a2,DIP-32243N,DIP-48355N,P11881,Q6PIE5,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ehmt2,Ncoa2,DIP-31916N,DIP-5979N,Q9Z148,Q61026,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Eif4ebp1,Eif4e,DIP-32577N,DIP-42768N,Q60876,P63073,MI:0915(physical association)|MI:0915(physical association),MI:0096(pull down)|MI:0096(pull down),dip-quality-status:core
Neto1,Dlg2,DIP-48395N,DIP-31569N,Q8R4I7,Q91XM9,MI:0407(direct interaction),MI:0018(two hybrid),dip-quality-status:core
Dlg3,Neto1,DIP-31585N,DIP-48395N,P70175,Q8R4I7,MI:0407(direct interaction),MI:0018(two hybrid),dip-quality-status:core
Med17,Rela,DIP-48407N,DIP-6219N,Q8VCD5,Q04207,MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction),MI:0006(anti bait coimmunoprecipitation)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0809(bimolecular fluorescence complementation),dip-quality-status:core
Rela,Rela,DIP-6219N,DIP-6219N,Q04207,Q04207,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0107(surface plasmon resonance)|MI:0809(bimolecular fluorescence complementation),dip-quality-status:core
Tubb3,Capzb,DIP-48419N,DIP-31383N,Q9ERD7,P47757,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down),dip-quality-status:core
Capza2,Capzb,DIP-31382N,DIP-31383N,P47754,P47757,MI:0407(direct interaction),MI:0404(comigration in non denaturing gel electrophoresis),dip-quality-status:core
Eps8,Baiap2,DIP-32858N,DIP-32392N,Q08509,Q8BKX1,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Atp1a1,Itpr1,DIP-31885N,DIP-32243N,Q8VDN2,P11881,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Traf6,Traf6,DIP-29812N,DIP-29812N,P70196,P70196,MI:0407(direct interaction),MI:0055(fluorescent resonance energy transfer),dip-quality-status:core
Casp3,Cryab,DIP-44076N,DIP-31060N,P70677,P23927,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Lin28a,Ddx21,DIP-48573N,DIP-48574N,Q8K3Y3,Q9JIK5,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Lin28a,Mov10,DIP-48573N,DIP-48575N,Q8K3Y3,P23249,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Pabpc1,Lin28a,DIP-32127N,DIP-48573N,P29341,Q8K3Y3,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Lin28a,Ssb,DIP-48573N,DIP-37706N,Q8K3Y3,P32067,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Ybx1,Lin28a,DIP-34256N,DIP-48573N,P62960,Q8K3Y3,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Kpna1,Atf4,DIP-48614N,DIP-30969N,Q60960,Q06507,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Atf4,Kpna6,DIP-30969N,DIP-48616N,Q06507,O35345,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Ltbp3,Tgfb1,DIP-48641N,DIP-48640N,Q61810,P04202,MI:0195(covalent binding),MI:0808(comigration in sds page),dip-quality-status:core
Tgfb1,Tgfb1,DIP-48640N,DIP-48640N,P04202,P04202,MI:0195(covalent binding),MI:0808(comigration in sds page),dip-quality-status:core
Eif4e,Rps6,DIP-42768N,DIP-42772N,P63073,P62754,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Chrna4,Lypd1,DIP-48731N,DIP-48729N,O70174,Q8BLC3,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Syne4,Klc4,DIP-48702N,DIP-48704N,Q8CII8,Q9DBS5,MI:0407(direct interaction),MI:0018(two hybrid),dip-quality-status:core
Ptpn6,Lyn,DIP-41455N,DIP-37806N,P29351,P25911,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Lypd1,Chrna7,DIP-48729N,DIP-48732N,Q8BLC3,P49582,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Lyn,Tnfrsf11a,DIP-37806N,DIP-48710N,P25911,O35305,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hcst,Tyrobp,DIP-48776N,DIP-29746N,Q9QUJ0,O54885,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tyrobp,Clec5a,DIP-29746N,DIP-48775N,O54885,Q9R007,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hcst,Clec5a,DIP-48776N,DIP-48775N,Q9QUJ0,Q9R007,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Chrnb2,Chrna4,DIP-48730N,DIP-48731N,Q9ERK7,O70174,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Id2,Tcf3,DIP-167N,DIP-30940N,P41136,P15806,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tcf12,Id2,DIP-42840N,DIP-167N,Q61286,P41136,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcd3,Baz1b,DIP-48886N,DIP-36072N,Q6P9Z1,Q9Z277,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Baz1b,Vdr,DIP-36072N,DIP-31478N,Q9Z277,P48281,MI:0407(direct interaction)|MI:0915(physical association),MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Tbx5,Baz1b,DIP-48887N,DIP-36072N,P70326,Q9Z277,MI:0407(direct interaction)|MI:0915(physical association),MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Baz1b,Nkx2-5,DIP-36072N,DIP-33031N,Q9Z277,P42582,MI:0407(direct interaction)|MI:0915(physical association),MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Baz1b,Gata4,DIP-36072N,DIP-33032N,Q9Z277,Q08369,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Baz1b,Pcna,DIP-36072N,DIP-39409N,Q9Z277,P17918,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarca5,Pcna,DIP-36073N,DIP-39409N,Q91ZW3,P17918,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcc1,Baz1b,DIP-39986N,DIP-36072N,P97496,Q9Z277,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Plxna1,Plxna1,DIP-29745N,DIP-29745N,P70206,P70206,MI:0407(direct interaction),MI:0404(comigration in non denaturing gel electrophoresis),dip-quality-status:core
Sept2,Sept2,DIP-32438N,DIP-32438N,P42208,P42208,MI:0407(direct interaction),MI:0114(x-ray crystallography),dip-quality-status:core
Lef1,Hmgb2,DIP-35132N,DIP-899N,P27782,P30681,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0096(pull down)|MI:0096(pull down),dip-quality-status:core
Polr2a,Ehmt2,DIP-46369N,DIP-31916N,P08775,Q9Z148,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ap3b1,Kif3a,DIP-49018N,DIP-46318N,Q9Z1T1,P28741,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Kif3a,Ap3d1,DIP-46318N,DIP-32163N,P28741,O54774,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Arrb2,Pde4d,DIP-36064N,DIP-29706N,Q91YI4,Q01063,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hspa5,Hsp90b1,DIP-32341N,DIP-32352N,P20029,P08113,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Traf2,Ltbr,DIP-468N,DIP-49695N,P39429,P50284,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Jarid2,Suz12,DIP-34312N,DIP-56045N,Q62315,Q80U70,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Jarid2,Ezh2,DIP-34312N,DIP-29524N,Q62315,Q61188,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Parva,Ilk,DIP-57658N,DIP-41971N,Q9EPC1,O55222,MI:0915(physical association)|MI:0915(physical association),MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Ilk,Parvb,DIP-41971N,DIP-57659N,O55222,Q9ES46,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mdm4,Trp53,DIP-24201N,DIP-369N,O35618,P02340,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mdm2,Mdm4,DIP-24196N,DIP-24201N,P23804,O35618,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Fgfr1,Kl,DIP-6033N,DIP-39894N,P16092,O35082,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Kcnj11,Ank2,DIP-42790N,DIP-58645N,Q61743,Q8C8R3,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Lrrk2,Stub1,DIP-58648N,DIP-29751N,Q5S006,Q9WUD1,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Slc40a1,Slc40a1,DIP-58649N,DIP-58649N,Q9JHI9,Q9JHI9,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Rcn2,Stk40,DIP-46963N,DIP-58526N,Q8BP92,Q7TNL3,MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association),MI:0096(pull down)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Irf3,Irf3,DIP-29881N,DIP-29881N,P70671,P70671,MI:0915(physical association)|MI:0915(physical association),MI:0404(comigration in non denaturing gel electrophoresis)|MI:0404(comigration in non denaturing gel electrophoresis),dip-quality-status:core
Wnt1,Wls,DIP-39896N,DIP-49004N,P04426,Q6DID7,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down),dip-quality-status:core
Wls,Wnt3,DIP-49004N,DIP-39897N,Q6DID7,P17553,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Wls,Wnt5a,DIP-49004N,DIP-39893N,Q6DID7,P22725,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Ctnnb1,Tcf4,DIP-31560N,DIP-42841N,Q02248,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mllt10,Tcf4,DIP-58954N,DIP-42841N,O54826,Q60722,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mllt10,Ctnnb1,DIP-58954N,DIP-31560N,O54826,Q02248,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Iigp1,Iigp1,DIP-58958N,DIP-58958N,Q9QZ85,Q9QZ85,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0067(light scattering)|MI:0018(two hybrid),dip-quality-status:core
Chd1l,Tcf4,DIP-58953N,DIP-42841N,Q9CXF7,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Kmt2a,Clock,DIP-58597N,DIP-30958N,P55200,O08785,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tcf7l2,Tcf4,DIP-40920N,DIP-42841N,Q924A0,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tnik,Tcf4,DIP-57467N,DIP-42841N,P83510,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mybbp1a,Tcf4,DIP-39831N,DIP-42841N,Q7TPV4,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tcf4,Rif1,DIP-42841N,DIP-54907N,Q60722,Q6PR54,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Trim28,Tcf4,DIP-31477N,DIP-42841N,Q62318,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tcf4,Wdr47,DIP-42841N,DIP-58945N,Q60722,Q8CGF6,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tcf4,Carm1,DIP-42841N,DIP-44593N,Q60722,Q9WVG6,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Rbm14,Tcf4,DIP-58946N,DIP-42841N,Q8C2Q3,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarca5,Tcf4,DIP-36073N,DIP-42841N,Q91ZW3,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tcf4,Wtap,DIP-42841N,DIP-58948N,Q60722,Q9ER69,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Rbm28,Tcf4,DIP-58949N,DIP-42841N,Q8CGC6,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Atad3a,Tcf4,DIP-32373N,DIP-42841N,Q925I1,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcc2,Tcf4,DIP-48884N,DIP-42841N,Q6PDG5,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcc1,Tcf4,DIP-39986N,DIP-42841N,P97496,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Flii,Tcf4,DIP-47641N,DIP-42841N,Q9JJ28,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcd2,Tcf4,DIP-58950N,DIP-42841N,Q99JR8,Q60722,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tcf4,Arid1a,DIP-42841N,DIP-58952N,Q60722,A2BH40,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Eif3f,Notch1,DIP-42766N,DIP-214N,Q9DCH4,Q01705,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Baiap2l2,Baiap2l2,DIP-59098N,DIP-59098N,Q80Y61,Q80Y61,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0114(x-ray crystallography)|MI:0067(light scattering)|MI:0071(molecular sieving),dip-quality-status:core
Ikbkg,Sharpin,DIP-29811N,DIP-49461N,O88522,Q91WA6,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Rnf31,Sharpin,DIP-49579N,DIP-49461N,Q924T7,Q91WA6,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hdac1,Smarca4,DIP-31499N,DIP-59249N,O09106,Q3TKT4,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Rnf31,Rbck1,DIP-49579N,DIP-59198N,Q924T7,Q9WUB0,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0071(molecular sieving)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Dmd,Nde1,DIP-32899N,DIP-54638N,P11531,Q9CZA6,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down),dip-quality-status:core
Rorc,Cry1,DIP-59439N,DIP-38515N,P51450,P97784,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Cdk8,Smc3,DIP-59235N,DIP-57028N,Q8R3L8,Q9CW03,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nipbl,Cdk8,DIP-56622N,DIP-59235N,Q6KCD5,Q8R3L8,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cdk8,Med15,DIP-59235N,DIP-59237N,Q8R3L8,Q924H2,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nipbl,Smc1a,DIP-56622N,DIP-57021N,Q6KCD5,Q9CU62,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smc3,Nipbl,DIP-57028N,DIP-56622N,Q9CW03,Q6KCD5,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Gsap,Psen1,DIP-59239N,DIP-36237N,Q3TCV3,P49769,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Gsap,Ncstn,DIP-59239N,DIP-36334N,Q3TCV3,P57716,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Myh10,Kif26b,DIP-31956N,DIP-59327N,Q61879,Q7TNC6,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Immt,Disc1,DIP-32050N,DIP-54914N,Q8CAQ8,Q811T9,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Snd1,Piwil1,DIP-32118N,DIP-59456N,Q78PY7,Q9JMB7,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Per1,Csnk1e,DIP-38519N,DIP-32410N,O35973,Q9JMK2,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Per1,Csnk1a1,DIP-38519N,DIP-32408N,O35973,Q8BK63,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Per1,Mapk1,DIP-38519N,DIP-661N,O35973,P63085,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mapk1,Cry1,DIP-661N,DIP-38515N,P63085,P97784,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Cdon,Cdh2,DIP-57227N,DIP-31564N,Q32MD9,P15116,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hdac1,Sin3a,DIP-31499N,DIP-469N,O09106,Q60520,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hdac1,Mta2,DIP-31499N,DIP-36630N,O09106,Q9R190,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Efnb3,Mapk1,DIP-44833N,DIP-661N,O35393,P63085,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Syk,Syk,DIP-32621N,DIP-32621N,P48025,P48025,MI:0217(phosphorylation reaction),MI:0424(protein kinase assay),dip-quality-status:core
Syk,Stat3,DIP-32621N,DIP-442N,P48025,P42227,MI:0915(physical association)|MI:0217(phosphorylation reaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0006(anti bait coimmunoprecipitation)|MI:0424(protein kinase assay)|MI:0006(anti bait coimmunoprecipitation)|MI:0047(far western blotting)|MI:0047(far western blotting),dip-quality-status:core
Cnot1,Nanos2,DIP-46845N,DIP-59508N,Q6ZQ08,P60322,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mapk1,Cry2,DIP-661N,DIP-38517N,P63085,Q9R194,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mid1ip1,Acaca,DIP-31345N,DIP-32276N,Q9CQ20,Q5SWU9,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mid1ip1,Mid1ip1,DIP-31345N,DIP-31345N,Q9CQ20,Q9CQ20,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0071(molecular sieving)|MI:0028(cosedimentation in solution),dip-quality-status:core
Tnfsf11,Tnfrsf11a,DIP-59480N,DIP-48710N,O35235,O35305,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0071(molecular sieving)|MI:0065(isothermal titration calorimetry)|MI:0107(surface plasmon resonance)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0969(bio-layer interferometry),dip-quality-status:core
Stat6,Ppara,DIP-49680N,DIP-5958N,P52633,P23204,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cd79b,Cd79b,DIP-59498N,DIP-59498N,P15530,P15530,MI:0195(covalent binding)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0808(comigration in sds page)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving),dip-quality-status:core
Olfm4,Nod1,DIP-59534N,DIP-59535N,Q3UZZ4,Q8BHB0,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ankrd42,Nfkb1,DIP-59545N,DIP-85N,Q3V096,P25799,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Adrb1,Adrb2,DIP-59567N,DIP-59568N,P34971,P18762,MI:0915(physical association)|MI:0915(physical association),MI:0892(solid phase assay)|MI:0892(solid phase assay),dip-quality-status:core
Chrna1,Rer1,DIP-59594N,DIP-59593N,P04756,Q9CQU3,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Csf2rb,Kit,DIP-46527N,DIP-59622N,P26955,P05532,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tgfbr1,Ly6a,DIP-42262N,DIP-59628N,Q64729,P05533,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Bcl2,Becn1,DIP-1065N,DIP-41636N,P10417,O88597,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
L1td1,Trim28,DIP-59746N,DIP-31477N,Q587J6,Q62318,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hnrnpc,Trim28,DIP-59747N,DIP-31477N,Q9Z204,Q62318,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hnrnpab,Trim28,DIP-31415N,DIP-31477N,Q99020,Q62318,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcb1,Trim28,DIP-34373N,DIP-31477N,Q9Z0H3,Q62318,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hnrnpd,Trim28,DIP-31411N,DIP-31477N,Q60668,Q62318,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
