"","Term","Ont","N","DE","P.DE"
"433","positive regulation of cell migration involved in sprouting angiogenesis","BP",21,4,0.00124491451933922
"434","positive regulation of macrophage chemotaxis","BP",21,4,0.00124491451933922
"435","interleukin-2 biosynthetic process","BP",21,4,0.00124491451933922
"436","negative regulation of digestive system process","BP",21,4,0.00124491451933922
"437","metal ion transport","BP",840,34,0.00126078293325225
"438","negative regulation of cell proliferation","BP",680,29,0.00130146035202021
"439","positive regulation of brown fat cell differentiation","BP",10,3,0.00131297805503342
"440","imidazole-containing compound metabolic process","BP",10,3,0.00131297805503342
"441","primitive hemopoiesis","BP",10,3,0.00131297805503342
"442","positive regulation of cell projection organization","BP",464,22,0.00132434886942799
"443","cellular chemical homeostasis","BP",810,33,0.00133043849422346
"444","leukocyte cell-cell adhesion","BP",319,17,0.00134225769048599
"445","collagen catabolic process","BP",36,5,0.00136281399454124
"446","protein kinase B signaling","BP",186,12,0.0013810372505193
"447","small molecule metabolic process","BP",1744,60,0.00139395746190853
"448","fat cell differentiation","BP",238,14,0.00139419810278614
"449","bone mineralization","BP",115,9,0.00143916552111376
"450","vitamin biosynthetic process","BP",22,4,0.00149393541801358
"451","regulation of endothelial cell chemotaxis","BP",22,4,0.00149393541801358
"452","mammary gland development","BP",163,11,0.00150866453365506
"453","positive regulation of stress fiber assembly","BP",54,6,0.00151170352144949
"454","regulation of cellular protein metabolic process","BP",2484,80,0.00152509812622173
"455","sprouting angiogenesis","BP",116,9,0.00152893723111568
"456","mesoderm development","BP",116,9,0.00152893723111568
"457","protein-lipid complex subunit organization","BP",37,5,0.00154612730654825
"458","positive regulation of acute inflammatory response","BP",37,5,0.00154612730654825
"459","dendritic cell differentiation","BP",37,5,0.00154612730654825
"460","developmental growth","BP",785,32,0.00155085584236946
"461","positive regulation of cellular component biogenesis","BP",531,24,0.00155623618084641
"462","positive regulation of renin secretion into blood stream","BP",3,2,0.00158146618184326
"463","positive regulation of vitamin D biosynthetic process","BP",3,2,0.00158146618184326
"464","positive regulation of calcidiol 1-monooxygenase activity","BP",3,2,0.00158146618184326
"465","negative regulation of T-helper 17 cell lineage commitment","BP",3,2,0.00158146618184326
"466","endothelial cell-matrix adhesion","BP",3,2,0.00158146618184326
"467","platelet-derived growth factor production","BP",3,2,0.00158146618184326
"468","regulation of platelet-derived growth factor production","BP",3,2,0.00158146618184326
"469","vagus nerve development","BP",3,2,0.00158146618184326
"470","apoptotic process","BP",1863,63,0.00160583736606096
"471","regulation of small molecule metabolic process","BP",353,18,0.00160684909668762
"472","positive regulation of cell death","BP",690,29,0.00161835293657379
"473","positive regulation of secretion by cell","BP",472,22,0.00164135607692701
"474","response to steroid hormone","BP",216,13,0.0016639925548178
"475","T cell selection","BP",55,6,0.001664152684877
"476","regulation of protein kinase activity","BP",660,28,0.00168953762835273
"477","cellular component organization","BP",6054,171,0.0016949724369499
"478","programmed cell death","BP",1904,64,0.00170470956251563
"479","striated muscle cell development","BP",191,12,0.00172886487977166
"480","positive T cell selection","BP",38,5,0.00174693551492932
"481","regulation of kinase activity","BP",726,30,0.00175269290393031
"482","bone trabecula formation","BP",11,3,0.00177440249642968
"483","vitamin D biosynthetic process","BP",11,3,0.00177440249642968
"484","venous blood vessel morphogenesis","BP",11,3,0.00177440249642968
"485","positive regulation of cell proliferation in bone marrow","BP",11,3,0.00177440249642968
"486","response to endogenous stimulus","BP",1407,50,0.00180881823439765
"487","positive regulation of blood vessel endothelial cell migration","BP",56,6,0.00182799576675918
"488","response to interferon-beta","BP",56,6,0.00182799576675918
"489","organic acid metabolic process","BP",960,37,0.00184649885510284
"490","positive regulation of endothelial cell migration","BP",97,8,0.00187326033664137
"491","regulation of biomineral tissue development","BP",97,8,0.00187326033664137
"492","alpha-amino acid catabolic process","BP",76,7,0.00189434248934374
"493","regulation of cell migration involved in sprouting angiogenesis","BP",39,5,0.00196620863411455
"494","blood circulation","BP",479,22,0.0019698167312878
"495","positive regulation of lymphocyte mediated immunity","BP",144,10,0.00197290760394572
"496","positive regulation of neuron projection development","BP",360,18,0.00199115537820753
"497","regulation of cysteine-type endopeptidase activity","BP",221,13,0.00203685073745809
"498","regulation of blood coagulation","BP",77,7,0.00204301857655291
"499","eosinophil migration","BP",24,4,0.00209214208867078
"500","positive regulation of monooxygenase activity","BP",24,4,0.00209214208867078
"501","definitive hemopoiesis","BP",24,4,0.00209214208867078
"502","regulation of T cell proliferation","BP",170,11,0.00210528432628739
"503","cellular homeostasis","BP",934,36,0.00211503651916166
"504","regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP",196,12,0.00214568526668989
"505","interferon-gamma production","BP",122,9,0.00216644448253944
"506","regulation of interleukin-2 production","BP",58,6,0.00219202114555638
"507","terpenoid metabolic process","BP",58,6,0.00219202114555638
"508","mammary gland duct morphogenesis","BP",40,5,0.00220492422878504
"509","neutrophil chemotaxis","BP",100,8,0.00227151216772597
"510","positive regulation of transferase activity","BP",547,24,0.00229179134407799
"511","cell proliferation in bone marrow","BP",12,3,0.00232536860088885
"512","positive regulation of interleukin-2 biosynthetic process","BP",12,3,0.00232536860088885
"513","regulation of cell proliferation in bone marrow","BP",12,3,0.00232536860088885
"514","T-helper 17 cell lineage commitment","BP",12,3,0.00232536860088885
"515","calcium ion transport","BP",425,20,0.00234587366937294
"516","small molecule catabolic process","BP",308,16,0.00237216007828072
"517","protein metabolic process","BP",5333,152,0.00237868860562512
"518","negative regulation of hydrolase activity","BP",396,19,0.00240789635518303
"519","regulation of actomyosin structure organization","BP",101,8,0.00241806714252573
"520","positive regulation of animal organ morphogenesis","BP",101,8,0.00241806714252573
"521","cellular protein modification process","BP",3442,104,0.00242068113391357
"522","protein modification process","BP",3442,104,0.00242068113391357
"523","neuron projection development","BP",1078,40,0.00242245298785705
"524","supramolecular fiber organization","BP",677,28,0.00242896317187866
"525","osteoblast differentiation","BP",199,12,0.00243294025125396
"526","regulation of cellular component biogenesis","BP",942,36,0.00243492940613523
"527","organic cyclic compound metabolic process","BP",5176,148,0.00244009967606246
"528","neuron development","BP",1217,44,0.00244468989227019
"529","positive regulation of vascular endothelial growth factor production","BP",25,4,0.00244553397876714
"530","positive regulation of neutrophil chemotaxis","BP",25,4,0.00244553397876714
"531","growth of symbiont in host","BP",25,4,0.00244553397876714
"532","regulation of proteolysis","BP",710,29,0.0024562510593966
"533","peptidyl-tyrosine autophosphorylation","BP",41,5,0.00246406556649649
"534","positive regulation of sprouting angiogenesis","BP",41,5,0.00246406556649649
"535","regulation of cell shape","BP",149,10,0.00253422909964303
"536","cellular metal ion homeostasis","BP",583,25,0.00254123571486658
"537","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP",80,7,0.00254363055117708
"538","regulation of myeloid leukocyte differentiation","BP",125,9,0.00255620860037661
"539","endocrine process","BP",102,8,0.0025719257249839
"540","negative regulation of leukocyte differentiation","BP",102,8,0.0025719257249839
"541","positive regulation of protein kinase B signaling","BP",102,8,0.0025719257249839
"542","negative regulation of cell adhesion","BP",283,15,0.0026472563927502
"543","regulation of peptide transport","BP",747,30,0.00267454570681363
"544","regulation of coagulation","BP",81,7,0.00272987068353263
"545","regulation of monooxygenase activity","BP",42,5,0.00274461979827403
"546","positive regulation of leukocyte mediated immunity","BP",176,11,0.00275767961565931
"547","ovulation cycle","BP",61,6,0.0028371787599823
"548","regulation of actin filament bundle assembly","BP",104,8,0.00290254088946706
"549","regulation of alpha-beta T cell activation","BP",104,8,0.00290254088946706
"550","muscle fiber development","BP",82,7,0.00292639431034886
"551","heterocycle metabolic process","BP",4920,141,0.00293326878605419
"552","positive regulation of intracellular estrogen receptor signaling pathway","BP",13,3,0.00297129021695761
"553","paraxial mesoderm morphogenesis","BP",13,3,0.00297129021695761
"554","luteinization","BP",13,3,0.00297129021695761
"555","positive regulation of heat generation","BP",13,3,0.00297129021695761
"556","positive regulation of secretion","BP",527,23,0.00298938174882594
"557","macromolecule modification","BP",3623,108,0.00305174244628337
"558","ventricular cardiac muscle tissue development","BP",62,6,0.00308091026761496
"559","positive regulation of eosinophil migration","BP",4,2,0.00311436210992866
"560","positive regulation of smooth muscle cell chemotaxis","BP",4,2,0.00311436210992866
"561","negative regulation of branching morphogenesis of a nerve","BP",4,2,0.00311436210992866
"562","positive regulation of glomerular filtration","BP",4,2,0.00311436210992866
"563","astrocyte fate commitment","BP",4,2,0.00311436210992866
"564","histamine metabolic process","BP",4,2,0.00311436210992866
"565","glossopharyngeal nerve morphogenesis","BP",4,2,0.00311436210992866
"566","positive regulation of vitamin metabolic process","BP",4,2,0.00311436210992866
"567","striatal medium spiny neuron differentiation","BP",4,2,0.00311436210992866
"568","regulation of T-helper 17 cell lineage commitment","BP",4,2,0.00311436210992866
"569","renal sodium ion absorption","BP",4,2,0.00311436210992866
"570","reactive oxygen species metabolic process","BP",288,15,0.00312195005044726
"571","mononuclear cell migration","BP",83,7,0.00313356692839187
"572","temperature homeostasis","BP",179,11,0.00314015760774893
"573","regulation of peptidase activity","BP",406,19,0.003165691124468
"574","ameboidal-type cell migration","BP",406,19,0.003165691124468
"575","regulation of cytosolic calcium ion concentration","BP",376,18,0.00316725531580168
"576","positive regulation of protein kinase activity","BP",437,20,0.00321633968208217
"577","rhythmic process","BP",289,15,0.00322482116897503
"578","muscle cell development","BP",206,12,0.0032262554876578
"579","negative regulation of secretion","BP",261,14,0.00325299303486064
"580","renal system process involved in regulation of systemic arterial blood pressure","BP",27,4,0.00327117521066832
"581","positive regulation of granulocyte chemotaxis","BP",27,4,0.00327117521066832
"582","growth involved in symbiotic interaction","BP",27,4,0.00327117521066832
"583","growth of symbiont involved in interaction with host","BP",27,4,0.00327117521066832
"584","cellular component organization or biogenesis","BP",6226,173,0.00327323913333457
"585","aorta development","BP",63,6,0.00333993184881842
"586","regulation of protein kinase B signaling","BP",155,10,0.00336945122544634
"587","renal system process","BP",107,8,0.0034594933992319
"588","cation transport","BP",1101,40,0.00348824092942181
"589","regulation of lymphocyte differentiation","BP",182,11,0.00356414065163825
"590","positive regulation of actin filament bundle assembly","BP",64,6,0.00361481968835759
"591","mesoderm formation","BP",64,6,0.00361481968835759
"592","regulation of CD4-positive, alpha-beta T cell activation","BP",64,6,0.00361481968835759
"593","positive regulation of myeloid leukocyte differentiation","BP",64,6,0.00361481968835759
"594","cellular aromatic compound metabolic process","BP",4988,142,0.00363142331749261
"595","divalent metal ion transport","BP",473,21,0.00365717820189352
"596","positive regulation of lymphocyte differentiation","BP",108,8,0.00366244879488083
"597","regulation of endothelial cell migration","BP",157,10,0.00369190712250289
"598","chemokine biosynthetic process","BP",14,3,0.00371705823769353
"599","regulation of chemokine biosynthetic process","BP",14,3,0.00371705823769353
"600","maternal process involved in female pregnancy","BP",45,5,0.0037246523415906
"601","oxoacid metabolic process","BP",933,35,0.00372929370222149
"602","cell morphogenesis involved in differentiation","BP",798,31,0.00374218552559192
"603","embryonic hemopoiesis","BP",28,4,0.00374741982577234
"604","positive regulation of kinase activity","BP",475,21,0.00383766777766442
"605","regulation of interferon-gamma production","BP",109,8,0.00387449362491651
"606","regulation of MAP kinase activity","BP",295,15,0.00390219549968823
"607","divalent inorganic cation transport","BP",476,21,0.00393066257451387
"608","negative regulation of cysteine-type endopeptidase activity","BP",87,7,0.00407618414452451
"609","cellular response to interferon-beta","BP",46,5,0.00410074555016117
"610","negative regulation of catalytic activity","BP",671,27,0.00416086978147635
"611","regulation of neuron differentiation","BP",771,30,0.00420846730512373
"612","interleukin-2 production","BP",66,6,0.0042145132089928
"613","regulation of cellular component organization","BP",2543,79,0.00422959986221559
"614","response to metal ion","BP",269,14,0.00424905631755696
"615","regulation of morphogenesis of an epithelium","BP",111,8,0.00432691825302754
"616","regulation of protein transport","BP",706,28,0.00432930055551343
"617","lymphocyte activation","BP",840,32,0.00434117308624694
"618","negative regulation of response to wounding","BP",88,7,0.00434220719084141
"619","positive regulation of T cell activation","BP",187,11,0.00437155529656276
"620","carboxylic acid biosynthetic process","BP",358,17,0.00440689234525993
"621","regulation of extrinsic apoptotic signaling pathway","BP",161,10,0.00440997950034653
"622","negative regulation of peptidase activity","BP",242,13,0.00442921826254078
"623","positive regulation of cell-cell adhesion","BP",242,13,0.00442921826254078
"624","vascular endothelial growth factor receptor signaling pathway","BP",47,5,0.00450318442737039
"625","positive regulation of nitric oxide biosynthetic process","BP",47,5,0.00450318442737039
"626","regulation of extrinsic apoptotic signaling pathway in absence of ligand","BP",47,5,0.00450318442737039
"627","organic acid biosynthetic process","BP",359,17,0.00452991686796234
"628","regulation of calcium ion transport","BP",271,14,0.00453327748890758
"629","regulation of acute inflammatory response","BP",67,6,0.00454048366858812
"630","positive regulation of membrane protein ectodomain proteolysis","BP",15,3,0.004567066988009
"631","regulation of integrin activation","BP",15,3,0.004567066988009
"632","bone trabecula morphogenesis","BP",15,3,0.004567066988009
"633","regulation of stress fiber assembly","BP",89,7,0.00462114211147724
"634","small molecule biosynthetic process","BP",645,26,0.00475905013100153
"635","membrane lipid metabolic process","BP",163,10,0.00480804692102831
"636","protein localization to postsynaptic specialization membrane","BP",30,4,0.00483639641966349
"637","neurotransmitter receptor localization to postsynaptic specialization membrane","BP",30,4,0.00483639641966349
"638","endothelial cell chemotaxis","BP",30,4,0.00483639641966349
"639","regulation of endopeptidase activity","BP",332,16,0.00490828018085959
"640","ovulation cycle process","BP",48,5,0.00493294325624575
"641","positive regulation of calcium-mediated signaling","BP",48,5,0.00493294325624575
"642","positive regulation of nitric oxide metabolic process","BP",48,5,0.00493294325624575
"643","autonomic nervous system development","BP",48,5,0.00493294325624575
"644","epithelial cell development","BP",246,13,0.00507378122723005
"645","regulation of renin secretion into blood stream","BP",5,2,0.00511105022899425
"646","positive regulation of calcium ion import across plasma membrane","BP",5,2,0.00511105022899425
"647","epithelial cell proliferation involved in mammary gland duct elongation","BP",5,2,0.00511105022899425
"648","progesterone secretion","BP",5,2,0.00511105022899425
"649","aorta smooth muscle tissue morphogenesis","BP",5,2,0.00511105022899425
"650","somatic diversification of T cell receptor genes","BP",5,2,0.00511105022899425
"651","somatic recombination of T cell receptor gene segments","BP",5,2,0.00511105022899425
"652","T cell receptor V(D)J recombination","BP",5,2,0.00511105022899425
"653","10-formyltetrahydrofolate metabolic process","BP",5,2,0.00511105022899425
"654","regulation of cell-cell adhesion","BP",394,18,0.00512950683945064
"655","regulation of protein serine/threonine kinase activity","BP",425,19,0.00515545096541678
"656","chemokine production","BP",91,7,0.00521929401497278
"657","signal release","BP",521,22,0.00534229327969978
"658","negative regulation of epithelial cell apoptotic process","BP",49,5,0.00539098854972949
"659","negative regulation of cytokine-mediated signaling pathway","BP",49,5,0.00539098854972949
"660","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",140,9,0.00541088096924118
"661","negative regulation of endothelial cell apoptotic process","BP",31,4,0.00545282760147458
"662","lymph node development","BP",31,4,0.00545282760147458
"663","regulation of neutrophil chemotaxis","BP",31,4,0.00545282760147458
"664","chemokine metabolic process","BP",16,3,0.00552523955695242
"665","genitalia morphogenesis","BP",16,3,0.00552523955695242
"666","craniofacial suture morphogenesis","BP",16,3,0.00552523955695242
"667","negative regulation of bone resorption","BP",16,3,0.00552523955695242
"668","negative regulation of phosphatidylinositol 3-kinase signaling","BP",16,3,0.00552523955695242
"669","vitamin D metabolic process","BP",16,3,0.00552523955695242
"670","regulation of brown fat cell differentiation","BP",16,3,0.00552523955695242
"671","T-helper cell lineage commitment","BP",16,3,0.00552523955695242
"672","odontogenesis","BP",116,8,0.0056359377480431
"673","regulation of wound healing","BP",141,9,0.00566475103548813
"674","response to inorganic substance","BP",493,21,0.00582201338985021
"675","roof of mouth development","BP",93,7,0.00587374897151646
"676","regulation of bone resorption","BP",50,5,0.00587827757244471
"677","negative regulation of hemostasis","BP",50,5,0.00587827757244471
"678","skeletal system development","BP",526,22,0.00595475128128898
"679","positive regulation of supramolecular fiber organization","BP",195,11,0.00595937817739473
"680","regulation of lymphocyte mediated immunity","BP",195,11,0.00595937817739473
"681","cell projection morphogenesis","BP",691,27,0.00609563424520461
"682","RNA metabolic process","BP",3745,109,0.0061094870165647
"683","positive regulation of interleukin-2 production","BP",32,4,0.00611959170012112
"684","regulation of vascular endothelial growth factor receptor signaling pathway","BP",32,4,0.00611959170012112
"685","negative regulation of interferon-gamma production","BP",32,4,0.00611959170012112
"686","positive regulation of osteoclast differentiation","BP",32,4,0.00611959170012112
"687","T-helper 17 type immune response","BP",32,4,0.00611959170012112
"688","regulation of anatomical structure size","BP",560,23,0.00617336724735377
"689","regulation of protein localization","BP",1034,37,0.00617374903635594
"690","positive regulation of epithelial cell migration","BP",143,9,0.0062000051320584
"691","cell-cell junction organization","BP",143,9,0.0062000051320584
"692","formation of primary germ layer","BP",94,7,0.00622306723918589
"693","regulation of systemic arterial blood pressure","BP",118,8,0.00623652628911348
"694","actin cytoskeleton organization","BP",659,26,0.00624045379313355
"695","positive regulation of apoptotic process","BP",627,25,0.00636987340531158
"696","positive regulation of oxidoreductase activity","BP",51,5,0.0063957569147495
"697","mesenchyme morphogenesis","BP",51,5,0.0063957569147495
"698","genitalia development","BP",51,5,0.0063957569147495
"699","endothelium development","BP",119,8,0.00655443558779279
"700","neutrophil migration","BP",119,8,0.00655443558779279
"701","phospholipase C-activating G protein-coupled receptor signaling pathway","BP",95,7,0.00658763542427066
"702","regulation of actin filament organization","BP",254,13,0.00658812059589865
"703","cardiac muscle fiber development","BP",17,3,0.00659505211214648
"704","positive regulation of endothelial cell chemotaxis","BP",17,3,0.00659505211214648
"705","CD4-positive, alpha-beta T cell lineage commitment","BP",17,3,0.00659505211214648
"706","positive regulation of stress-activated MAPK cascade","BP",171,10,0.00669014387772662
"707","plasma lipoprotein particle organization","BP",33,4,0.00683839111326156
"708","negative regulation of signal transduction in absence of ligand","BP",33,4,0.00683839111326156
"709","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","BP",33,4,0.00683839111326156
"710","regulation of axon extension involved in axon guidance","BP",33,4,0.00683839111326156
"711","peripheral nervous system development","BP",73,6,0.00689883904439828
"712","lymphocyte chemotaxis","BP",52,5,0.00694436112028911
"713","positive regulation of stress-activated protein kinase signaling cascade","BP",172,10,0.00696070377652622
"714","regulation of phosphatidylinositol 3-kinase signaling","BP",96,7,0.00696784603426901
"715","positive regulation of programmed cell death","BP",632,25,0.00701259814849816
"716","negative regulation of cellular component movement","BP",315,15,0.00704455442672149
"717","bone development","BP",228,12,0.00716088727671167
"718","positive regulation of endocytosis","BP",173,10,0.00723966172631668
"719","response to oxygen-containing compound","BP",1585,52,0.00727573741644859
"720","embryonic morphogenesis","BP",634,25,0.0072842392593315
"721","lymphocyte migration","BP",97,7,0.00736409158852895
"722","regulation of insulin receptor signaling pathway","BP",74,6,0.00736442316622935
"723","positive regulation of adaptive immune response","BP",147,9,0.00738650564746863
"724","regulation of leukocyte cell-cell adhesion","BP",287,14,0.00740427022755307
"725","regulation of long-term synaptic potentiation","BP",53,5,0.00752501136802605
"726","negative regulation of response to cytokine stimulus","BP",53,5,0.00752501136802605
"727","glial cell proliferation","BP",53,5,0.00752501136802605
"728","response to mechanical stimulus","BP",174,10,0.00752718635379033
"729","transmembrane transport","BP",1261,43,0.0075344583573967
"730","regulation of eosinophil migration","BP",6,2,0.00754930258577176
"731","regulation of smooth muscle cell chemotaxis","BP",6,2,0.00754930258577176
"732","branch elongation involved in mammary gland duct branching","BP",6,2,0.00754930258577176
"733","odontoblast differentiation","BP",6,2,0.00754930258577176
"734","retinal blood vessel morphogenesis","BP",6,2,0.00754930258577176
"735","negative regulation of neuron maturation","BP",6,2,0.00754930258577176
"736","primitive erythrocyte differentiation","BP",6,2,0.00754930258577176
"737","positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway","BP",6,2,0.00754930258577176
"738","glutamate secretion, neurotransmission","BP",6,2,0.00754930258577176
"739","renal sodium ion transport","BP",6,2,0.00754930258577176
"740","sphingolipid metabolic process","BP",122,8,0.00758201648085657
"741","positive regulation of neutrophil migration","BP",34,4,0.00761086446222231
"742","cell volume homeostasis","BP",34,4,0.00761086446222231
"743","glutamate secretion","BP",34,4,0.00761086446222231
"744","embryonic hindlimb morphogenesis","BP",34,4,0.00761086446222231
"745","defense response to protozoan","BP",34,4,0.00761086446222231
"746","regulation of transforming growth factor beta production","BP",34,4,0.00761086446222231
"747","postsynapse assembly","BP",34,4,0.00761086446222231
"748","muscle contraction","BP",288,14,0.00762307490813509
"749","sex differentiation","BP",288,14,0.00762307490813509
"750","positive regulation of ion transport","BP",318,15,0.00765455059362239
"751","regulation of epithelial cell differentiation","BP",148,9,0.00770854386758083
"752","regulation of establishment of protein localization","BP",738,28,0.0077468744908431
"753","negative regulation of extrinsic apoptotic signaling pathway","BP",98,7,0.00777676431908391
"754","positive regulation of T cell proliferation","BP",98,7,0.00777676431908391
"755","venous blood vessel development","BP",18,3,0.00777955723239096
"756","positive regulation of cyclase activity","BP",18,3,0.00777955723239096
"757","regulation of systemic arterial blood pressure by circulatory renin-angiotensin","BP",18,3,0.00777955723239096
"758","preganglionic parasympathetic fiber development","BP",18,3,0.00777955723239096
"759","dentate gyrus development","BP",18,3,0.00777955723239096
"760","negative regulation of bone remodeling","BP",18,3,0.00777955723239096
"761","regulation of Wnt signaling pathway","BP",289,14,0.00784698600758324
"762","digestion","BP",123,8,0.00795010757233506
"763","actomyosin structure organization","BP",203,11,0.00796918397355277
"764","positive regulation of leukocyte cell-cell adhesion","BP",203,11,0.00796918397355277
"765","neuron projection morphogenesis","BP",673,26,0.00808587517825113
"766","regulation of endothelial cell apoptotic process","BP",54,5,0.00813861420951345
"767","negative regulation of chemotaxis","BP",54,5,0.00813861420951345
"768","actin filament-based process","BP",741,28,0.00815820091837388
"769","cardiac muscle cell development","BP",99,7,0.00820625587224245
"770","aorta morphogenesis","BP",35,4,0.00843858439470424
"771","cellular detoxification","BP",35,4,0.00843858439470424
"772","T cell proliferation","BP",205,11,0.00854561174078903
"773","CD4-positive, alpha-beta T cell activation","BP",100,7,0.00865295701129208
"774","positive regulation of peptidyl-serine phosphorylation","BP",125,8,0.00872634365560259
"775","negative regulation of endopeptidase activity","BP",178,10,0.00876634832874843
"776","cell migration involved in sprouting angiogenesis","BP",55,5,0.00878606036197707
"777","protein localization to postsynaptic membrane","BP",55,5,0.00878606036197707
"778","cellular response to calcium ion","BP",77,6,0.00889702777780099
"779","mammary gland epithelium development","BP",77,6,0.00889702777780099
"780","nucleobase-containing compound metabolic process","BP",4793,134,0.00900154995075959
"781","cell part morphogenesis","BP",713,27,0.009034706494606
"782","positive regulation of lyase activity","BP",19,3,0.00908140629326182
"783","regulation of protein kinase C signaling","BP",19,3,0.00908140629326182
"784","blood vessel endothelial cell proliferation involved in sprouting angiogenesis","BP",19,3,0.00908140629326182
"785","alpha-beta T cell lineage commitment","BP",19,3,0.00908140629326182
"786","response to tumor necrosis factor","BP",179,10,0.00909925902229869
"787","bone remodeling","BP",101,7,0.00911725732066829
"788","regulation of signaling receptor activity","BP",126,8,0.00913505831554327
"789","positive regulation of signaling receptor activity","BP",36,4,0.00932305569472462
"790","regulation of long-term neuronal synaptic plasticity","BP",36,4,0.00932305569472462
"791","sulfur amino acid metabolic process","BP",36,4,0.00932305569472462
"792","transforming growth factor beta production","BP",36,4,0.00932305569472462
"793","negative regulation of Notch signaling pathway","BP",36,4,0.00932305569472462
"794","regulation of metal ion transport","BP",419,18,0.00940720164344469
"795","isoprenoid metabolic process","BP",78,6,0.00945506681505035
"796","reproductive process","BP",1461,48,0.00950238042919157
"797","phosphatidylinositol 3-kinase signaling","BP",127,8,0.00955788359486477
"798","reproduction","BP",1462,48,0.00961540985351316
"799","head development","BP",683,26,0.00966149814872811
"800","regulation of cell morphogenesis","BP",517,21,0.00971096968491403
"801","regulation of actin filament-based process","BP",390,17,0.00998147924608465
"802","positive regulation of cell division","BP",79,6,0.0100376219663884
"803","regulation of reactive oxygen species biosynthetic process","BP",103,7,0.0101002061318663
"804","regulation of cell size","BP",210,11,0.0101282121578617
"805","endothelial cell apoptotic process","BP",57,5,0.0101859594491248
"806","neuron maturation","BP",57,5,0.0101859594491248
"807","multicellular organismal movement","BP",57,5,0.0101859594491248
"808","musculoskeletal movement","BP",57,5,0.0101859594491248
"809","regulation of neurotransmitter receptor activity","BP",57,5,0.0101859594491248
"810","muscle system process","BP",391,17,0.0102194280073816
"811","regulation of endothelial cell differentiation","BP",37,4,0.0102657136811702
"812","axon extension involved in axon guidance","BP",37,4,0.0102657136811702
"813","neuron projection extension involved in neuron projection guidance","BP",37,4,0.0102657136811702
"814","plasma membrane bounded cell projection morphogenesis","BP",687,26,0.0103581271308736
"815","carboxylic acid metabolic process","BP",894,32,0.0104035118878412
"816","regulation of the force of heart contraction by chemical signal","BP",7,2,0.0104076688925551
"817","regulation of calcium ion import across plasma membrane","BP",7,2,0.0104076688925551
"818","9-cis-retinoic acid biosynthetic process","BP",7,2,0.0104076688925551
"819","9-cis-retinoic acid metabolic process","BP",7,2,0.0104076688925551
"820","positive regulation of prostaglandin biosynthetic process","BP",7,2,0.0104076688925551
"821","positive regulation of axon extension involved in axon guidance","BP",7,2,0.0104076688925551
"822","paracrine signaling","BP",7,2,0.0104076688925551
"823","response to potassium ion","BP",7,2,0.0104076688925551
"824","cellular response to potassium ion","BP",7,2,0.0104076688925551
"825","positive regulation of artery morphogenesis","BP",7,2,0.0104076688925551
"826","histidine metabolic process","BP",7,2,0.0104076688925551
"827","eye pigmentation","BP",7,2,0.0104076688925551
"828","negative regulation of hippo signaling","BP",7,2,0.0104076688925551
"829","hormone metabolic process","BP",211,11,0.0104701140728563
"830","protein-lipid complex remodeling","BP",20,3,0.0105028709393996
"831","plasma lipoprotein particle remodeling","BP",20,3,0.0105028709393996
"832","response to auditory stimulus","BP",20,3,0.0105028709393996
"833","lymphangiogenesis","BP",20,3,0.0105028709393996
"834","positive regulation of glial cell proliferation","BP",20,3,0.0105028709393996
"835","chloride ion homeostasis","BP",20,3,0.0105028709393996
"836","negative regulation of growth of symbiont in host","BP",20,3,0.0105028709393996
"837","plasma membrane tubulation","BP",20,3,0.0105028709393996
"838","ganglioside metabolic process","BP",20,3,0.0105028709393996
"839","neuron migration","BP",183,10,0.0105285422704646
"840","contractile actin filament bundle assembly","BP",104,7,0.0106196252730704
"841","stress fiber assembly","BP",104,7,0.0106196252730704
"842","intracellular steroid hormone receptor signaling pathway","BP",104,7,0.0106196252730704
"843","response to cytokine","BP",1001,35,0.010629729374297
"844","nerve development","BP",80,6,0.0106452428919461
"845","regulation of bone mineralization","BP",80,6,0.0106452428919461
"846","Wnt signaling pathway","BP",425,18,0.0107725358780083
"847","negative regulation of locomotion","BP",331,15,0.0108016659543565
"848","embryonic organ development","BP",490,20,0.010889972476453
"849","regulation of ion transport","BP",724,27,0.0108911547776204
"850","mucopolysaccharide metabolic process","BP",58,5,0.010940104572103
"851","mammary gland morphogenesis","BP",58,5,0.010940104572103
"852","hormone secretion","BP",363,16,0.0110706628033003
"853","cardiac cell development","BP",105,7,0.0111581842872627
"854","heart development","BP",624,24,0.0112202607633853
"855","cell-cell signaling by wnt","BP",427,18,0.0112611614027609
"856","granulocyte differentiation","BP",38,4,0.0112679228771986
"857","response to protozoan","BP",38,4,0.0112679228771986
"858","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","BP",38,4,0.0112679228771986
"859","positive regulation of protein complex assembly","BP",243,12,0.0115241704585455
"860","regulation of peptidyl-serine phosphorylation","BP",158,9,0.0115475680323164
"861","negative regulation of hemopoiesis","BP",158,9,0.0115475680323164
"862","gonad development","BP",214,11,0.0115491179649027
